id_receita,id_empresa,id_cliente,categoria,valor,data,descricao
1,6,107,Serviço,84587.43,2025-04-03,Ab quo dolorum iusto fugiat facilis tempora.
2,6,172,Consultoria,71949.15,2024-11-08,Autem ipsa saepe cum explicabo.
3,6,192,Consultoria,12288.31,2024-09-29,Facere sit dicta.
4,4,101,Licenciamento,36158.76,2024-06-26,Aliquam hic quia tempore cum.
5,5,171,Licenciamento,70507.51,2024-06-30,Vero voluptatem blanditiis laudantium libero placeat consectetur.
6,1,122,Consultoria,14904.47,2025-01-30,Magnam unde sapiente harum autem autem.
7,7,114,Licenciamento,61474.32,2024-04-22,Culpa magnam quisquam dolores.
8,4,116,Consultoria,22343.36,2025-01-02,Inventore nisi ab laboriosam eligendi assumenda.
9,4,192,Licenciamento,11668.81,2024-09-27,Nulla quas deleniti eligendi beatae.
10,7,106,Venda Produto,77442.37,2024-07-25,Pariatur inventore labore quos aut.
11,8,159,Serviço,96421.62,2025-01-22,Nostrum deleniti sequi occaecati corrupti blanditiis illo.
12,1,168,Venda Produto,55769.41,2024-07-29,Ut incidunt nulla at amet.
13,7,175,Consultoria,92512.72,2024-09-19,Esse odio doloremque excepturi laboriosam magni officia.
14,3,189,Serviço,73318.97,2024-08-10,Earum eligendi expedita in.
15,3,114,Consultoria,66094.66,2024-08-16,Delectus a optio.
16,10,142,Consultoria,42447.81,2024-08-16,Eligendi eius non inventore dolorum.
17,10,189,Serviço,28085.99,2024-10-21,Ex beatae pariatur placeat quo consectetur.
18,6,138,Consultoria,80674.89,2024-09-01,Quia nihil non dolores eius nesciunt.
19,3,153,Licenciamento,84464.37,2024-05-17,Consectetur quia blanditiis nesciunt.
20,9,141,Serviço,20888.02,2025-04-03,Deserunt ipsum atque velit nulla.
21,10,192,Licenciamento,68974.52,2024-08-09,Voluptatibus dicta quam aliquam deleniti mollitia dolorum.
22,3,191,Serviço,50885.45,2025-03-20,Voluptate tempora ipsum quaerat tenetur architecto in.
23,6,191,Venda Produto,76316.73,2025-04-10,Ratione cumque earum voluptas enim veritatis aperiam.
24,9,162,Consultoria,67750.11,2025-01-08,Qui id placeat sit voluptas.
25,9,137,Consultoria,81022.17,2024-06-17,Quibusdam fugit quod id earum delectus.
26,9,114,Venda Produto,38706.16,2024-06-15,Dolor possimus sunt ratione iste provident minima.
27,1,186,Venda Produto,20790.34,2024-08-09,Eos eaque blanditiis dolore modi.
28,3,137,Licenciamento,15496.41,2024-08-05,Odit velit eius.
29,1,189,Licenciamento,21196.09,2024-06-04,Sit amet voluptatem voluptatibus distinctio.
30,9,105,Licenciamento,81588.6,2024-05-29,Officiis odio voluptas.
31,2,179,Serviço,74498.86,2024-08-18,Veniam sunt eaque consequatur.
32,9,150,Serviço,51581.31,2025-03-28,Eos voluptates numquam ab explicabo quas eius ducimus.
33,5,189,Venda Produto,92722.0,2024-04-20,Omnis sint vel nesciunt quam porro veniam.
34,7,154,Licenciamento,96617.49,2024-07-22,Odio mollitia repellendus dolore eaque neque repellat quidem.
35,1,102,Licenciamento,21105.64,2024-06-13,Doloremque quas fuga temporibus atque delectus delectus.
36,8,129,Licenciamento,75755.66,2025-03-14,Deleniti laudantium quas officia.
37,9,195,Serviço,77838.53,2024-04-22,Cum debitis hic non architecto.
38,4,138,Consultoria,18565.16,2024-05-11,Doloribus tenetur voluptas aut minima quas.
39,2,124,Serviço,73772.87,2025-02-21,Nobis fugiat accusantium.
40,2,149,Venda Produto,43422.27,2025-03-01,Quis officia aliquam.
41,9,134,Serviço,16931.96,2024-07-19,Eaque vel nobis recusandae.
42,5,101,Licenciamento,47166.8,2024-04-17,Molestiae repellendus sequi assumenda.
43,3,106,Serviço,92934.2,2024-06-07,Quis tempora repellendus esse laboriosam doloribus molestiae.
44,10,107,Licenciamento,49564.54,2024-07-26,Molestiae accusantium aliquid molestias aut suscipit impedit a.
45,10,171,Licenciamento,8215.2,2024-07-10,Dolorem harum explicabo.
46,6,168,Serviço,95741.78,2024-08-03,Ullam placeat placeat quaerat temporibus.
47,9,109,Serviço,42177.19,2024-10-22,Voluptatibus dolore vero eligendi.
48,9,152,Venda Produto,35590.89,2024-05-13,Ex facere unde assumenda aliquam corrupti inventore ex.
49,4,185,Licenciamento,33775.59,2024-06-23,Corrupti pariatur error repellendus expedita aut.
50,5,128,Consultoria,99666.48,2025-04-04,Optio ut repellat quae asperiores a ut.
51,1,115,Licenciamento,45121.06,2024-06-10,Eum hic quam quos.
52,10,180,Serviço,95930.78,2024-10-16,Beatae incidunt quas corporis.
53,6,149,Venda Produto,39201.72,2024-08-17,Delectus harum eum incidunt.
54,9,193,Licenciamento,3445.87,2025-01-08,Nobis odio consequuntur velit ullam fugit.
55,9,199,Licenciamento,51916.6,2024-11-13,Molestiae laudantium modi dolorem assumenda quaerat minima.
56,9,158,Consultoria,5341.31,2025-02-09,Praesentium doloremque a voluptatibus accusantium.
57,4,142,Venda Produto,94872.97,2024-11-16,Vero ullam animi expedita sed sint reprehenderit.
58,3,199,Venda Produto,63066.37,2024-08-06,Corporis sequi voluptas totam doloribus repudiandae animi.
59,4,186,Serviço,86630.13,2024-06-06,Vitae provident fugiat ad.
60,7,114,Serviço,54237.67,2024-09-25,Amet autem neque labore nisi culpa.
61,7,183,Venda Produto,74942.19,2024-06-10,Consequuntur doloribus accusamus rerum impedit quisquam.
62,3,104,Consultoria,71969.96,2024-10-13,Quibusdam praesentium error illum.
63,1,112,Venda Produto,6372.54,2024-08-23,Quos possimus enim culpa sunt adipisci.
64,5,172,Venda Produto,57921.27,2025-01-30,Magnam ab rerum perspiciatis.
65,4,134,Consultoria,39415.23,2025-03-20,Mollitia repudiandae ullam magnam quae incidunt culpa.
66,7,156,Licenciamento,2672.21,2024-05-19,Fugiat veritatis quia id animi hic reprehenderit.
67,2,169,Venda Produto,64500.85,2024-11-17,Sapiente repellendus iusto et odit repudiandae cum rem.
68,10,109,Venda Produto,70387.32,2024-12-21,Deserunt autem aspernatur nobis sed adipisci.
69,2,146,Venda Produto,29693.82,2024-08-01,Molestiae aperiam nisi quidem.
70,5,178,Venda Produto,28870.23,2024-08-12,Mollitia odit adipisci eaque voluptate.
71,8,149,Consultoria,82390.11,2024-11-19,Natus ratione aliquid.
72,1,161,Serviço,53813.31,2024-08-14,Velit ab explicabo eligendi.
73,3,196,Consultoria,79880.27,2024-09-15,Deserunt quibusdam quas voluptate praesentium atque illum.
74,9,138,Serviço,30507.59,2025-01-26,Aut rem corrupti nesciunt fugit nesciunt sequi.
75,6,102,Serviço,13200.28,2024-08-04,Corrupti iure suscipit at.
76,1,174,Consultoria,54178.05,2025-01-18,Sunt rem omnis quisquam cum.
77,2,140,Serviço,75081.36,2024-10-25,Voluptatibus non minima quisquam ipsum consectetur enim.
78,6,128,Consultoria,90657.18,2024-12-12,Aliquam quae placeat dolores voluptatum non.
79,9,119,Serviço,19215.28,2024-06-12,Occaecati libero rem consequuntur sit molestias voluptas.
80,10,133,Serviço,12347.63,2025-02-11,Libero iste cumque eos.
81,10,107,Consultoria,64822.78,2024-05-10,Nemo explicabo architecto quae itaque.
82,2,138,Venda Produto,25818.07,2024-10-14,Quis ipsam unde velit voluptas.
83,4,193,Consultoria,95202.45,2024-10-20,Facilis enim illum.
84,6,117,Serviço,10904.46,2024-12-10,Ipsam maiores numquam et.
85,10,109,Serviço,32460.81,2024-05-16,Magni ea soluta placeat nulla officia.
86,8,143,Licenciamento,69652.35,2025-01-26,Praesentium natus culpa autem fugiat.
87,3,173,Licenciamento,80962.28,2024-11-21,Sequi dolore soluta pariatur expedita iusto.
88,7,122,Venda Produto,32008.26,2024-11-07,Autem debitis autem vero id inventore illo.
89,4,192,Consultoria,28391.3,2024-05-09,Exercitationem nobis distinctio qui beatae iste.
90,6,118,Licenciamento,87910.7,2024-11-11,Veniam corporis distinctio necessitatibus.
91,8,158,Licenciamento,77701.93,2024-12-03,Aperiam repellat ratione voluptatem distinctio distinctio.
92,8,171,Venda Produto,18401.25,2024-04-22,Earum odio assumenda architecto illo error.
93,10,111,Licenciamento,86012.65,2025-01-15,Sit minima pariatur ea rerum at temporibus.
94,3,169,Serviço,27060.23,2024-08-24,Cum expedita in labore porro.
95,2,194,Venda Produto,89318.41,2024-06-15,Explicabo possimus harum ab quos nisi.
96,9,181,Venda Produto,81451.6,2024-05-14,Nulla eum voluptates vel quia qui et corrupti.
97,10,152,Serviço,90724.05,2024-10-09,Libero et recusandae perferendis.
98,9,134,Consultoria,65736.91,2024-07-25,Quam voluptates velit similique odio odit neque.
99,3,147,Consultoria,23107.36,2024-04-28,Quia deleniti possimus quo nobis.
100,10,194,Licenciamento,14254.24,2024-07-06,Distinctio deleniti perspiciatis veritatis fuga facilis.
101,9,166,Venda Produto,40281.73,2024-08-09,Magnam sint praesentium officiis iste.
102,9,102,Serviço,84950.2,2024-09-20,Explicabo molestiae minima quisquam beatae cupiditate.
103,10,188,Serviço,75963.4,2024-09-27,Debitis nisi molestiae fugit sapiente porro.
104,3,158,Serviço,18735.37,2024-09-30,Praesentium vel temporibus aut assumenda.
105,10,185,Serviço,73856.06,2025-03-05,At accusamus ut aut.
106,8,146,Venda Produto,22663.09,2025-01-30,Unde aut ipsam neque adipisci enim in dolore.
107,8,130,Venda Produto,27171.35,2024-10-07,Fugit deserunt iusto commodi voluptas totam impedit.
108,4,106,Serviço,52270.64,2025-02-26,Ab fugiat dolore eligendi sunt eaque.
109,6,150,Consultoria,91872.29,2025-03-05,Perferendis a tenetur adipisci ad ratione.
110,1,106,Licenciamento,11219.28,2025-03-06,Reprehenderit nobis ex vero voluptatibus doloribus voluptate.
111,9,182,Licenciamento,83652.35,2024-06-27,Officia repudiandae reiciendis neque consectetur odio voluptate cupiditate.
112,5,175,Serviço,38289.3,2025-03-31,Maxime ipsa aut reiciendis magnam occaecati.
113,7,147,Venda Produto,52149.63,2025-02-12,Sapiente occaecati ea mollitia veniam dignissimos.
114,7,129,Consultoria,35936.9,2024-05-20,Ipsa occaecati nihil.
115,6,163,Consultoria,88830.02,2024-04-24,Provident ullam aspernatur fugit quia consectetur iste occaecati.
116,1,165,Serviço,44549.97,2024-08-31,Dolores tempore error modi.
117,4,110,Licenciamento,21940.19,2024-07-18,Quo omnis eius vel occaecati odit.
118,3,121,Licenciamento,60600.01,2024-11-24,Beatae unde commodi consequuntur.
119,2,185,Serviço,42046.75,2024-07-24,At laudantium facere saepe.
120,6,193,Venda Produto,48670.15,2024-09-12,Laudantium accusantium asperiores vero.
121,8,162,Serviço,59488.3,2024-05-13,Porro fugiat et tenetur repellat.
122,7,103,Serviço,5271.29,2024-06-22,Ab debitis necessitatibus non adipisci.
123,10,176,Serviço,14337.68,2024-08-25,Laborum nostrum molestias culpa qui unde.
124,9,106,Serviço,6535.29,2024-06-27,Adipisci ad maiores corrupti sint beatae dolor eveniet.
125,5,124,Consultoria,60336.39,2024-07-08,Quas velit eaque laboriosam.
126,10,182,Venda Produto,87972.39,2024-05-19,Provident officiis iusto repellat ipsa veniam.
127,5,111,Serviço,45471.13,2025-04-07,Dolorum dicta sapiente quaerat vitae.
128,8,162,Serviço,22717.02,2024-05-23,Recusandae nesciunt cumque dignissimos quam inventore ipsum nisi.
129,7,177,Serviço,79666.99,2024-07-28,Numquam non inventore necessitatibus fugiat odio.
130,3,180,Licenciamento,17604.45,2024-05-08,Cumque alias maiores nesciunt eos repudiandae officia.
131,6,159,Venda Produto,23751.56,2024-11-06,Id beatae repellat inventore delectus doloribus.
132,7,117,Venda Produto,2639.7,2024-07-06,Fuga quod commodi et ab eveniet.
133,9,165,Consultoria,82824.9,2024-10-11,Recusandae tempore natus harum nobis minima aut.
134,10,113,Serviço,48111.05,2024-07-30,Veniam rem perferendis nemo officia placeat ipsa repellendus.
135,10,177,Venda Produto,87897.51,2024-06-29,Amet laudantium aliquid earum blanditiis.
136,9,165,Venda Produto,10225.81,2024-10-06,Nobis nihil dolores accusantium.
137,3,178,Venda Produto,89799.93,2024-04-20,Voluptates tenetur eligendi sapiente illo tempore ullam.
138,7,167,Consultoria,37667.37,2024-04-29,Officia architecto atque rem quam earum.
139,1,190,Consultoria,23719.14,2025-01-31,Id nam est nostrum hic possimus.
140,8,199,Consultoria,35701.26,2024-10-07,Sed voluptas commodi fugiat nulla adipisci aliquid.
141,10,113,Consultoria,14254.43,2024-04-18,Autem eum porro ipsa.
142,8,199,Serviço,91098.45,2024-06-19,Deleniti temporibus fuga temporibus.
143,2,137,Consultoria,26522.69,2024-04-15,Ea quos beatae.
144,1,191,Venda Produto,58220.73,2024-08-10,Ea porro recusandae fugit.
145,2,167,Venda Produto,38127.96,2025-01-10,Unde nesciunt blanditiis eum.
146,4,189,Licenciamento,41475.66,2024-06-10,Suscipit vitae impedit ipsum commodi minus neque optio.
147,2,120,Consultoria,65506.02,2024-07-31,Quo laboriosam at quisquam quae explicabo.
148,5,134,Consultoria,56902.35,2025-03-04,Optio quasi dignissimos aspernatur voluptas.
149,10,136,Consultoria,75742.22,2024-05-07,Accusamus dolor repellendus deleniti autem.
150,7,171,Consultoria,18693.24,2024-07-04,Quis maiores et velit provident omnis sed autem.
151,9,172,Consultoria,26123.99,2024-06-03,Totam harum iste nulla dicta.
152,5,174,Licenciamento,77645.25,2024-09-16,Architecto incidunt placeat veritatis neque.
153,7,195,Serviço,85644.89,2024-05-23,Itaque autem beatae accusantium.
154,2,196,Serviço,45212.89,2024-10-09,Eaque labore minus explicabo.
155,3,113,Serviço,51326.01,2024-05-29,Assumenda inventore corrupti magnam magni amet earum.
156,6,171,Venda Produto,16913.06,2024-05-21,Officiis quasi in.
157,1,112,Serviço,47695.2,2024-08-06,Illo nisi minus laudantium inventore.
158,10,156,Venda Produto,7343.97,2025-01-03,Officia vero dolor.
159,4,148,Venda Produto,61293.86,2024-05-04,Nemo dolores minus.
160,7,152,Licenciamento,71448.98,2024-07-29,Sunt praesentium illo hic dolore.
161,10,108,Serviço,64388.84,2025-02-28,Libero cupiditate dignissimos odio provident.
162,8,102,Serviço,85206.2,2024-08-03,Atque magnam praesentium.
163,9,137,Serviço,4327.33,2024-10-16,Sequi porro cumque placeat cumque.
164,10,166,Serviço,61903.81,2024-08-20,Consequuntur accusamus labore ex debitis eaque aspernatur.
165,1,147,Serviço,65846.89,2025-01-02,Nisi voluptas nesciunt.
166,3,112,Licenciamento,78187.62,2024-10-20,Labore aliquid accusantium perspiciatis enim.
167,6,186,Consultoria,41139.65,2024-07-11,Magnam quidem quod aut rem excepturi laudantium.
168,4,167,Venda Produto,73955.63,2024-08-28,Ducimus laborum facilis accusamus explicabo quae tempora.
169,2,112,Licenciamento,72887.73,2025-02-08,Laborum earum maxime odit corporis illum dolore voluptatibus.
170,9,175,Licenciamento,35400.03,2024-08-30,Adipisci neque possimus inventore dignissimos at ullam.
171,5,129,Serviço,46021.14,2024-09-07,Vitae soluta perspiciatis tempore.
172,7,174,Venda Produto,26849.64,2024-10-05,Cupiditate tenetur expedita ex nihil veniam eius.
173,7,165,Venda Produto,56304.44,2024-06-27,Neque praesentium rerum.
174,9,138,Licenciamento,94754.53,2024-05-31,Recusandae necessitatibus recusandae expedita beatae ab.
175,9,133,Licenciamento,69724.99,2025-04-09,Iure corrupti vitae numquam.
176,7,173,Consultoria,77226.75,2024-12-27,Esse enim reiciendis accusamus.
177,6,200,Consultoria,68477.87,2024-04-29,Eligendi nihil amet esse inventore.
178,10,104,Consultoria,12510.56,2024-12-26,Amet consequuntur soluta.
179,2,149,Serviço,68014.38,2025-02-12,Pariatur quisquam culpa assumenda earum voluptatum deserunt.
180,4,141,Consultoria,95589.12,2024-11-27,Enim adipisci ut dolorum.
181,9,169,Venda Produto,70381.04,2025-01-02,In vitae atque ea error est.
182,5,132,Licenciamento,10207.93,2024-11-18,Perspiciatis eum neque placeat dicta consequatur.
183,6,110,Serviço,48178.99,2024-11-15,Error assumenda necessitatibus occaecati molestias.
184,6,128,Licenciamento,19095.66,2024-09-07,Atque minima possimus magnam placeat facere.
185,4,164,Serviço,24251.28,2024-08-29,Iure vero itaque totam ad quisquam.
186,4,134,Serviço,23691.55,2024-05-18,Nostrum esse doloribus maiores.
187,4,180,Licenciamento,16443.56,2024-06-02,Molestiae natus eos quidem hic illo ab rem.
188,2,116,Venda Produto,67905.4,2025-03-19,Itaque amet amet rerum officiis ex atque.
189,8,179,Venda Produto,76660.18,2024-08-04,Laboriosam ex aperiam qui perferendis qui amet.
190,9,106,Consultoria,37748.46,2024-07-02,Corporis qui libero dolore perferendis sequi error.
191,6,164,Licenciamento,49589.73,2024-08-12,Rem numquam dicta.
192,9,136,Consultoria,22987.19,2024-05-10,Corrupti sunt maxime.
193,10,117,Venda Produto,53047.81,2024-07-19,Aut ad magni hic unde.
194,7,162,Venda Produto,50745.05,2024-08-08,Laborum delectus doloremque sed ea nostrum.
195,7,188,Serviço,46262.41,2024-10-01,Commodi corporis accusantium consequuntur quia dolores maiores praesentium.
196,2,190,Consultoria,32249.48,2024-06-30,Laboriosam enim aut nihil facilis eius harum.
197,1,102,Serviço,38563.37,2025-02-18,Iure repellendus corporis eligendi.
198,2,142,Licenciamento,61665.03,2024-05-30,Harum neque alias officiis omnis ipsam tenetur.
199,5,124,Licenciamento,24476.78,2024-08-29,Iusto quam eius voluptatem.
200,8,179,Licenciamento,37226.49,2024-08-30,Sequi magnam expedita provident hic aperiam omnis.
201,8,155,Serviço,42490.2,2024-08-28,Excepturi quaerat ratione eius quis esse hic.
202,6,147,Consultoria,28683.32,2025-04-04,Fugiat iusto omnis nemo unde quod minima.
203,3,174,Serviço,97947.97,2024-06-03,Nihil neque nesciunt rerum architecto adipisci.
204,4,113,Licenciamento,80604.67,2025-01-23,Doloremque pariatur libero perspiciatis.
205,9,156,Consultoria,20410.26,2024-08-17,Voluptatem repellat quasi dolores tempore.
206,3,161,Venda Produto,18484.12,2024-06-20,Quidem in aperiam nostrum beatae sed.
207,8,118,Licenciamento,78747.96,2024-05-12,Quis non sapiente unde eum praesentium.
208,5,133,Venda Produto,40441.79,2024-09-07,Voluptates nemo dicta dolorum.
209,3,108,Serviço,81567.99,2024-09-30,Dolorem quia inventore minus ratione.
210,8,181,Venda Produto,45535.63,2024-05-17,Ad vero atque alias consequuntur a quo necessitatibus.
211,6,134,Licenciamento,36670.35,2025-03-15,Exercitationem placeat vero quas.
212,9,133,Licenciamento,2963.7,2024-11-05,Deleniti dignissimos repudiandae magnam explicabo tempore sequi.
213,2,145,Serviço,58108.52,2025-02-19,Ipsa numquam soluta necessitatibus.
214,9,123,Licenciamento,36155.79,2024-06-02,Error blanditiis dolorem nobis ex dolore velit.
215,9,163,Consultoria,89073.61,2025-04-07,Hic facere sit culpa enim.
216,7,179,Licenciamento,46911.46,2024-11-07,Dolores maxime nostrum est nulla molestias tempora.
217,3,122,Licenciamento,42759.83,2024-11-26,Vel voluptates officiis adipisci in dicta suscipit.
218,10,174,Consultoria,85041.18,2024-05-07,Dignissimos repellendus eveniet quidem.
219,2,111,Serviço,35018.92,2025-04-03,Doloremque asperiores veniam temporibus.
220,6,141,Licenciamento,71332.92,2025-01-12,Exercitationem architecto impedit.
221,10,183,Consultoria,27853.56,2025-01-26,Ut suscipit laboriosam consectetur quam aut libero dolore.
222,8,200,Licenciamento,75041.65,2024-08-28,Labore quos soluta dolorem ut ad.
223,9,158,Consultoria,17564.49,2025-02-11,Modi similique placeat qui mollitia.
224,1,117,Serviço,66540.23,2024-05-04,Quisquam possimus inventore incidunt consequuntur ipsa.
225,2,127,Serviço,40307.51,2025-03-28,Voluptatem facilis deserunt ipsa animi doloremque nihil dolorem.
226,2,109,Consultoria,55294.94,2025-01-29,Necessitatibus voluptatibus accusamus quam repellat asperiores consectetur.
227,1,199,Consultoria,52874.3,2024-06-23,Aliquam expedita omnis doloribus eos.
228,2,114,Licenciamento,62192.11,2024-12-05,Laboriosam commodi asperiores dolorum molestiae libero.
229,2,184,Consultoria,31627.69,2025-01-24,Tempore similique ipsam esse facilis mollitia.
230,4,195,Licenciamento,44872.88,2025-03-17,Minima eaque possimus magnam amet.
231,3,117,Serviço,3828.56,2025-03-29,Provident numquam eius dignissimos consequatur voluptate.
232,6,142,Consultoria,47252.15,2024-07-12,Quia distinctio fuga repellendus consequuntur.
233,9,135,Consultoria,14376.38,2024-07-14,Officiis iste beatae libero alias eius.
234,9,123,Consultoria,63473.7,2024-09-10,Repudiandae assumenda eius non libero.
235,10,156,Licenciamento,90983.39,2025-03-15,Harum aliquid dignissimos delectus inventore amet.
236,8,170,Serviço,80666.07,2024-08-10,Molestiae expedita ad.
237,8,140,Licenciamento,41808.18,2024-12-06,Ullam tenetur repellat nihil quidem exercitationem.
238,3,139,Venda Produto,1009.14,2025-03-02,Ipsa incidunt quas quasi animi autem harum quam.
239,3,145,Licenciamento,47450.6,2025-01-02,Similique vel iure nemo necessitatibus.
240,1,189,Consultoria,94748.79,2024-11-01,Cum fugit quia unde consequatur.
241,8,139,Venda Produto,76821.05,2024-04-19,Reiciendis veritatis assumenda dolorum molestiae.
242,5,177,Serviço,79879.97,2024-08-23,Hic nulla facere omnis quos repellat non.
243,9,148,Serviço,41761.85,2024-06-01,Necessitatibus eum eaque debitis iure.
244,9,156,Consultoria,25739.72,2024-10-01,Iure vitae laboriosam.
245,7,149,Serviço,27035.05,2025-03-07,Dolor animi vel eius nostrum et aperiam.
246,7,181,Serviço,52144.4,2024-06-22,Quisquam eius sit consectetur occaecati.
247,10,189,Licenciamento,29183.01,2024-06-10,Omnis doloremque omnis delectus magni ipsam et mollitia.
248,9,135,Consultoria,19612.06,2024-07-11,Veritatis voluptatibus voluptate accusamus.
249,2,124,Serviço,29669.93,2025-03-08,Molestiae aliquid doloremque autem magni beatae.
